NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
RUY IRIGARAY BOLSONARO,UNIÃO,RS,86.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,44000
NILSÃO,AVANTE,SP,46.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,70930
DEUSA,AVANTE,SP,59.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70113
JULIANA DANTAS,PSDB,RN,41.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,45777
CARLOS DA SEMELC,REPUBLICANOS,MG,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",N,NÃO DIVULGÁVEL,10890
JOSÉ ALVES DOAÇÕES,PRTB,PE,52.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,28888
GABRIEL TAVARES,PCB,SP,25.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,21000
CLÉLIA,DC,SC,67.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,27224
LUCIANO MINEIRINHO,PSC,RJ,47.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,TRABALHADOR DE CONSTRUÇÃO CIVIL,N,NÃO DIVULGÁVEL,20444
VALDINEI MARTINS,PTB,RJ,33.0,MASCULINO,SUPERIOR INCOMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,14321
SARGENTO EDSON JÚNIOR,PL,PE,41.0,MASCULINO,SUPERIOR INCOMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,22555
ENID KREBSKY,PSC,SP,70.0,FEMININO,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,20297
FERNANDO GANJA COLETIVA,PSOL,SP,38.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,50420
IMBILINO,PDT,GO,64.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12333
DAIANE SILVA,PSDB,AC,31.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,45011
CABO MAZARIO,PMN,SP,37.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,33331
TENENTE CORONEL AGLEISON,PSD,AC,43.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,55999
VILOBALDO BORGES,PL,GO,61.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,22444
GILSOMAR OLIVEIRA,PROS,AC,50.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,REPRESENTANTE COMERCIAL,N,NÃO DIVULGÁVEL,90789
RONY DO ANDAIME,PSOL,BA,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,50010
