NM_URNA_CANDIDATO,SG_PARTIDO,SG_UF,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
LUIZA DULCI,PT,MG,33.0,FEMININO,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,13113
ROSELI BRITO,REDE,RJ,53.0,FEMININO,ENSINO MÉDIO COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),N,NÃO DIVULGÁVEL,18456
GRACIELE LIMA,PC do B,RR,35.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,65321
ADERLÂNDIO FRANÇA,PDT,AC,44.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,12300
PRIMO RENATO,PATRIOTA,RJ,60.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,51123
TIA RAQUEL DO SOCIAL,PSD,RJ,47.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,55126
IZAURI MACEDO,MDB,MS,69.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15500
EDNA RIBEIRO,PT,PB,55.0,FEMININO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,13666
DANIELLE LIO,REDE,MG,42.0,FEMININO,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,18244
EDUARDO DA RODOTAXI,AVANTE,RO,37.0,MASCULINO,SUPERIOR INCOMPLETO,TAXISTA,N,NÃO DIVULGÁVEL,70789
DRA RAQUEL,UNIÃO,RJ,49.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44567
MISSIONÁRIO SIRINEU BARBOSA,REPUBLICANOS,BA,64.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10777
HELLEN MADONA,UNIÃO,MS,45.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44744
MIGUEL MEDINA,MDB,RS,27.0,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,15815
CADU TOLENTINO,CIDADANIA,MG,54.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,23393
RUYBERTO,REPUBLICANOS,RJ,63.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,10017
ZUILA DOMÉSTICA,AGIR,AC,58.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36398
EDIVAN ALMEIDA,REPUBLICANOS,BA,46.0,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,10733
ÉLITA SILVA,PROS,RJ,37.0,FEMININO,ENSINO MÉDIO COMPLETO,COZINHEIRO,N,NÃO DIVULGÁVEL,90003
ARLINDO ARAÚJO,MDB,SP,62.0,MASCULINO,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,15620
JEOVÁ MOTA,PDT,CE,57.0,MASCULINO,SUPERIOR INCOMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12444
REGIS YASUMURA,PL,SP,45.0,MASCULINO,SUPERIOR COMPLETO,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,NÃO DIVULGÁVEL,22002
DR JOSÉ CLAUDIO,PTB,MG,56.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14022
CLEIA PIT BULL,MDB,RR,58.0,FEMININO,ENSINO MÉDIO COMPLETO,"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR",N,NÃO DIVULGÁVEL,15220
DR. MARCOS PAULO,PSOL,RJ,46.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,50000
NINA CAMPELLO,AVANTE,RN,34.0,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70123
RODOLFO VALE,PC do B,AP,31.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,65777
AMARILDO VIEIRA,PRTB,PA,28.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,28888
GUSTAVO SEFER,PSD,PA,32.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,55123
RAFAEL MORENO,PMB,SP,34.0,MASCULINO,ENSINO MÉDIO COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,35035
DANIELE BIONDO CROCETTI,REDE,PR,46.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,18294
CARLOS FRANCO,PSD,RJ,31.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55120
DR ADAIRES,PDT,TO,41.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12612
EDUARDO CAVALIERE,PSD,RJ,28.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,55001
NICINHA,PMN,SE,50.0,FEMININO,ENSINO MÉDIO COMPLETO,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",N,NÃO DIVULGÁVEL,33800
PROF PAULO HENRIQUE,PSDB,AC,30.0,MASCULINO,SUPERIOR COMPLETO,DIRETOR DE ESTABELECIMENTO DE ENSINO,N,NÃO DIVULGÁVEL,45777
DANIEL BRANDÃO,PSC,MA,51.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,20022
LAERCIO,AVANTE,PA,28.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70033
CLÁUDIA MOTA,PSC,MG,47.0,FEMININO,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,20212
JOSÉ MARIA TAPAJÓS,PP,PA,66.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,S,NÃO DIVULGÁVEL,11456
IRMÃO PAVÃO,DC,MA,63.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27234
DR. ANTENOR,PT,PR,63.0,MASCULINO,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,13500
GENILSON CUNHA,DC,MA,52.0,MASCULINO,ENSINO MÉDIO COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,27149
ELIZABETH ARAUJO,PRTB,PA,46.0,FEMININO,ENSINO MÉDIO COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,28147
ADILSON STUZATA,PT,PR,55.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13041
ALAN SANTOS,PODE,AP,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19192
WESLEY BATERIA,PDT,TO,58.0,MASCULINO,ENSINO MÉDIO COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,12100
CAPITÃO PRADO,UNIÃO,BA,41.0,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,44001
BENÉ DO VITAL,PTB,RJ,65.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14234
DR KAROL,PTB,PA,41.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14014
SILVIA LOBATO,PTB,PA,54.0,FEMININO,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,14007
MAURÍCIO FILHO,UNIÃO,RN,27.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44333
CLAYTON BERTOTTO,SOLIDARIEDADE,SC,35.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77900
ADVOGADA ROSANE,PSOL,SC,61.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,50500
SILVANEI BATISTA,PV,MG,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,43789
GEILSON COSTA,PATRIOTA,RN,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,51111
MARCOS VALLE,PMB,SP,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,35081
MAJOR ALIPIO,PRTB,RJ,50.0,MASCULINO,SUPERIOR COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,28199
NELSON ARAUJO,DC,SE,80.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,27000
GISLAINE LANDVOIGT,SOLIDARIEDADE,MS,46.0,FEMININO,SUPERIOR COMPLETO,TRABALHADOR DE HOTELARIA,N,NÃO DIVULGÁVEL,77789
SARGENTO VIANA,PP,MS,53.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,11022
DRA FABIOLA MANSUR,PSB,BA,60.0,FEMININO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,40040
DEAN ARAÚJO,CIDADANIA,MA,42.0,MASCULINO,SUPERIOR INCOMPLETO,REPRESENTANTE COMERCIAL,N,NÃO DIVULGÁVEL,23789
ADRIANA ANDRADE,AGIR,AC,41.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,36461
CLAUDIA URIAS,PSD,SP,51.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55025
DOUGLAS MELO,PSD,MG,39.0,MASCULINO,SUPERIOR COMPLETO,PUBLICITÁRIO,S,NÃO DIVULGÁVEL,55800
JORGE MACEDO,PSDB,RJ,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,45650
ARIELY PEDROSO,PSC,SP,24.0,FEMININO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,20420
ALESSANDRA CAMPELO,PSC,AM,48.0,FEMININO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,20123
SANDY DE PAULA,UNIÃO,MT,31.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44444
TERESA CARNEIRO,PSDB,PB,39.0,FEMININO,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,45999
ANINHA OVIEDO,REPUBLICANOS,RS,53.0,FEMININO,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10512
LUCAS DE LIMA DO AMOR SEM FIM,PDT,MS,53.0,MASCULINO,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,S,NÃO DIVULGÁVEL,12000
NEI SALVIANO,PSDB,MS,62.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,45007
PROFESSORA JOSETE,PT,PR,59.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,13613
GARIBALDE,PDT,SE,66.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12111
SIMONE SPONHOLZ,PL,PR,49.0,FEMININO,SUPERIOR COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,22001
ADENILSON ROCHA,PSDB,MT,42.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,45045
ROSSENIR GUEDES,AVANTE,CE,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,70500
LIDO STROPPER,PATRIOTA,RS,61.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51051
ISA DI MORAIS,DC,RJ,53.0,FEMININO,ENSINO MÉDIO COMPLETO,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,27008
EDIVALDINHO,PP,BA,33.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11334
ED.CARRETA,PP,BA,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11005
JEAN FERREIRA,PDT,MS,24.0,MASCULINO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,12067
MARIA DO CARMO,MDB,SP,61.0,FEMININO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15500
MICHELLY CARNEIRO,REPUBLICANOS,PB,37.0,FEMININO,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,10180
MOÉSIO LOIOLA,PP,CE,71.0,MASCULINO,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,N,NÃO DIVULGÁVEL,11999
MARCELO BINI,PRTB,SP,49.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,28400
SANDRO TREME CAR,PP,AC,38.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,11111
SÉRGIO,PT,SC,57.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,13789
JUSCELINO COSTA,PSDB,PA,59.0,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,45007
DR GILVAN FERNANDES,AGIR,PB,68.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,36556
PAULO GUERREIRO,MDB,BA,64.0,MASCULINO,SUPERIOR INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15200
ROBERTO BAETA,PSTU,RJ,49.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,16016
ANDREA NERI SANTANA,PSB,SP,34.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,40600
ITANILDO REIS,PSD,RN,58.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55444
ADRIANO BERNARDO,PDT,RJ,57.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12789
FABIANE DA FRIGONORTE,PATRIOTA,GO,34.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,51511
PATRICIA SALES,CIDADANIA,BA,46.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,23012
DR LAURO FERNANDES,UNIÃO,RO,43.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44364
POLICIAL FEDERAL ALINE NOVAIS,PSD,SP,46.0,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,55050
JANAÍNA GOMES,PDT,PE,32.0,FEMININO,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,12555
PROFESSOR MATEUS,PDT,BA,43.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,12210
CIDA GOMES,PRTB,TO,32.0,FEMININO,ENSINO MÉDIO INCOMPLETO,SECRETÁRIO E DATILÓGRAFO,N,NÃO DIVULGÁVEL,28987
FÁBIO DA JUDIA,AGIR,AC,34.0,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36116
AMAURY DA PESCA,PSC,PA,65.0,MASCULINO,SUPERIOR INCOMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,20888
ALEX CARIOCA,DC,RJ,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27021
ELIANE ACS,DC,MG,45.0,FEMININO,SUPERIOR INCOMPLETO,AGENTE DE SAÚDE E SANITARISTA,N,NÃO DIVULGÁVEL,27446
DIOGO AVILA,PSC,MA,37.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,20321
ANINHA MELO,PP,BA,58.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11044
DR. JOÃO,MDB,MT,66.0,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15678
CORONEL USAI,PRTB,SP,59.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,28290
RUBIVAR NOBRE,PSB,AP,58.0,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,40223
JOSAFÁ ARAÚJO,REDE,PE,70.0,MASCULINO,ENSINO MÉDIO COMPLETO,DESENHISTA,N,NÃO DIVULGÁVEL,18523
GIOVANE FERREIRA,NOVO,SC,53.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,30111
ADVOGADO CLAUDIO MELCHIORETTO,PSC,SC,59.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,20111
JOSE CARLOS SCHVALWB,PRTB,RJ,53.0,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,28222
DIEGO ALVES,PP,MG,40.0,MASCULINO,ENSINO MÉDIO COMPLETO,PSICÓLOGO,N,NÃO DIVULGÁVEL,11020
WILHER WELTER,PSOL,RS,28.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,50300
FRANCISCO TENORIO,PP,AL,59.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,S,NÃO DIVULGÁVEL,11333
PAULINHA SILVA,PATRIOTA,RJ,42.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,N,NÃO DIVULGÁVEL,51621
JÚNIOR BRITO,PSD,PB,36.0,MASCULINO,ENSINO MÉDIO INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,55444
NEUMA PAIVA,PATRIOTA,RN,57.0,FEMININO,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,51888
ANDRÉA ARAUJO DTO. LGBT ANIMAL,NOVO,RJ,56.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,30303
CABO MELQUISEDEC,PL,RN,45.0,MASCULINO,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,22380
CECÍLIA,REDE,MG,54.0,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,18194
AUGUSTINHO ROSA,PSOL,GO,63.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,50050
ERNALDO DE VASCONCELOS,DC,AM,56.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,27111
ISAC RODSON,AGIR,GO,33.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,36006
MARIA DE FATIMA,PL,PB,49.0,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22322
JANETE CARVALHO,REDE,MG,52.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,18881
EDNA DA SAÚDE,PATRIOTA,PR,54.0,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,51008
PAULO VIEIRA DA SILVA,PL,MG,60.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,N,NÃO DIVULGÁVEL,22302
NENEM DO HELIO,PODE,MG,41.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,19580
DIVALDO SANTOS,REDE,PA,67.0,MASCULINO,ENSINO MÉDIO COMPLETO,AGRICULTOR,N,NÃO DIVULGÁVEL,18414
DR IDERCIVAL,MDB,BA,56.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15100
TONIA CLOSS,DC,ES,57.0,FEMININO,ENSINO MÉDIO COMPLETO,PROTÉTICO,N,NÃO DIVULGÁVEL,27100
CELINHO SINTROCEL,PC do B,MG,62.0,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,65112
CLEMENTINO BRITES,UNIÃO,MS,69.0,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,44163
RITA ORIGUELLA,AVANTE,SP,53.0,FEMININO,SUPERIOR COMPLETO,DIRETOR DE ESTABELECIMENTO DE ENSINO,N,NÃO DIVULGÁVEL,70177
KELLY MORAES,PL,RS,60.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,22214
PASTOR JOEL FERNANDES,REPUBLICANOS,SE,44.0,MASCULINO,ENSINO MÉDIO COMPLETO,MÚSICO,N,NÃO DIVULGÁVEL,10122
CANTORA GEORGETE ROCHA,PODE,RJ,69.0,FEMININO,ENSINO MÉDIO COMPLETO,CANTOR E COMPOSITOR,N,NÃO DIVULGÁVEL,19077
JOYCE CABELEIREIRA,PSB,RJ,41.0,FEMININO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,40140
PEDRO RADADE,PTB,PR,66.0,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,14345
ANDRÉA DE PAULA,MDB,SP,43.0,FEMININO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,15158
VICENTE LEÃO,PSDB,GO,42.0,MASCULINO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,45452
CARLOS LEÃO,PRTB,MG,49.0,MASCULINO,SUPERIOR COMPLETO,"BOMBEIRO E INSTALADOR DE GÁS, ÁGUA, ESGOTO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,28200
ELEUZA DIAS,PT,PI,61.0,FEMININO,SUPERIOR COMPLETO,GERENTE,N,NÃO DIVULGÁVEL,13131
HERCULANO MOURA,PC do B,AM,66.0,MASCULINO,ENSINO MÉDIO COMPLETO,AGRICULTOR,N,NÃO DIVULGÁVEL,65174
ELIENE GOMES,PL,CE,55.0,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22789
PENHA CARDOSO,PMB,ES,56.0,FEMININO,ENSINO MÉDIO COMPLETO,COZINHEIRO,N,NÃO DIVULGÁVEL,35474
DANNI DIAS,CIDADANIA,PE,30.0,FEMININO,SUPERIOR COMPLETO,BOMBEIRO CIVIL,N,NÃO DIVULGÁVEL,23456
ENFERMEIRO RONEUDO,REPUBLICANOS,RO,46.0,MASCULINO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10444
PASTORA MARI,PMB,SP,49.0,FEMININO,ENSINO MÉDIO COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,35274
PEDROSSIAN NETO,PSD,MS,41.0,MASCULINO,SUPERIOR COMPLETO,ECONOMISTA,N,NÃO DIVULGÁVEL,55000
CAROLINE DA SILVA,AVANTE,AP,29.0,FEMININO,ENSINO FUNDAMENTAL COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,70400
FELIPE FAVA,PTB,RO,29.0,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,14022
PAULINHO AGUIAR,PSDB,RJ,45.0,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,45555
BRUNO PALMA,PL,BA,45.0,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22100
EMERSON NEGÃO,UNIÃO,ES,50.0,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44111
SILENE CORREA,PODE,AP,39.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19019
DANILO LOPES,AVANTE,CE,55.0,MASCULINO,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,70007
PROFESSOR JADER,REDE,RJ,68.0,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,18612
RÉGA DA ESPERANÇA,PSD,RO,40.0,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55678
PROF ENFERMEIRA SANDRA ASSANTE,REDE,MG,53.0,FEMININO,SUPERIOR COMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,N,NÃO DIVULGÁVEL,18888
ROSELI MATOS,PC do B,AP,47.0,FEMININO,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,65456
ISAURA LEMOS,PC do B,GO,68.0,FEMININO,SUPERIOR INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,65123
EDUARDO VASCONCELOS,AVANTE,PE,36.0,MASCULINO,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,70123
MICHELE BEGOT,PSD,PA,44.0,FEMININO,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,55055
